timestamp,page,records_fetched,records_inserted,elapsed_sec
2025-07-08T20:30:53.043581,102,4000,2517,11.53
2025-07-08T20:31:04.415394,103,4000,1636,11.37
2025-07-08T20:31:15.653679,104,4000,1039,11.24
2025-07-08T20:31:27.138632,105,4000,1961,11.48
2025-07-08T20:31:38.902340,106,4000,1378,11.76
2025-07-08T20:31:50.123386,107,4000,696,11.22
2025-07-08T20:32:01.642842,108,4000,981,11.52
2025-07-08T20:32:13.216540,109,4000,1606,11.57
2025-07-08T20:32:24.473853,110,4000,1145,11.26
2025-07-08T20:32:35.742404,111,4000,788,11.27
2025-07-08T20:32:47.226830,112,4000,1209,11.48
2025-07-08T20:32:58.857878,113,4000,1741,11.63
2025-07-08T20:33:10.513837,114,4000,1696,11.66
2025-07-08T20:33:22.247349,115,4000,1985,11.73
2025-07-08T20:33:33.910210,116,4000,1226,11.66
2025-07-08T20:33:45.559309,117,4000,903,11.65
2025-07-08T20:33:56.821250,118,4000,1352,11.26
2025-07-08T20:34:13.807597,119,4000,1076,16.99
2025-07-08T20:34:25.214092,120,4000,2718,11.41
2025-07-08T20:34:36.536471,121,4000,693,11.32
2025-07-08T20:34:47.827323,122,4000,1505,11.29
2025-07-08T20:34:59.089696,123,4000,1336,11.26
2025-07-08T20:35:11.373446,124,4000,1206,12.28
2025-07-08T20:35:23.500512,125,4000,1982,12.13
2025-07-08T20:35:34.704916,126,4000,1912,11.2
2025-07-08T20:35:46.239775,127,4000,1766,11.53
2025-07-08T20:35:58.813969,128,4000,2477,12.57
2025-07-08T20:36:10.739680,129,4000,1861,11.93
2025-07-08T20:36:22.051171,130,4000,2484,11.31
2025-07-08T20:36:33.177220,131,4000,1713,11.13
2025-07-08T20:36:44.715480,132,4000,1811,11.54
2025-07-08T20:36:55.694459,133,4000,2076,10.98
2025-07-08T20:37:07.213817,134,4000,1929,11.52
2025-07-08T20:37:18.480377,135,4000,1322,11.27
2025-07-08T20:37:29.991038,136,4000,1299,11.51
2025-07-08T20:37:41.580205,137,4000,1469,11.59
2025-07-08T20:37:52.862188,138,4000,1015,11.28
2025-07-08T20:38:04.439919,139,4000,2116,11.58
